job_id,title,company_size,industry,country,city,remote_type,employment_type,experience_level,date_posted
1,Software Engineer,Small (51-200),EdTech,Spain,Madrid,Remote,Part-time,Senior,2023-03-31
2,Software Engineer,Startup (1-50),FinTech,Poland,Krakow,Remote,Full-time,Entry,2024-07-28
3,Cloud Architect,Large (1001-5000),FinTech,Netherlands,Utrecht,Remote,Full-time,Executive,2023-06-13
4,Backend Engineer,Small (51-200),HealthTech,Sweden,Gothenburg,Remote,Contract,Senior,2023-04-05
5,Backend Engineer,Enterprise (5000+),Logistics,Switzerland,Zurich,Remote,Full-time,Senior,2024-07-03
6,Data Engineer,Medium (201-1000),Consulting,United States,Austin,On-site,Full-time,Executive,2024-08-14
7,Data Engineer,Small (51-200),SaaS,Netherlands,Utrecht,On-site,Working Student,Entry,2023-04-14
8,DevOps Engineer,Small (51-200),Automotive,Switzerland,Geneva,Hybrid,Full-time,Senior,2024-12-19
9,Data Engineer,Small (51-200),Logistics,Spain,Valencia,Hybrid,Full-time,Executive,2024-01-24
10,Security Engineer,Small (51-200),FinTech,France,Toulouse,Hybrid,Contract,Executive,2023-08-23
11,Frontend Engineer,Startup (1-50),Consulting,Germany,Hamburg,Remote,Working Student,Senior,2023-08-06
12,Frontend Engineer,Small (51-200),EdTech,Spain,Barcelona,Remote,Full-time,Lead,2024-07-05
13,Business Intelligence Analyst,Enterprise (5000+),E-Commerce,France,Toulouse,Hybrid,Full-time,Lead,2024-06-05
14,Software Engineer,Small (51-200),Gaming,Australia,Sydney,Hybrid,Contract,Entry,2024-09-02
15,Frontend Engineer,Large (1001-5000),FinTech,United States,Austin,Hybrid,Working Student,Executive,2024-11-27
16,Cloud Architect,Medium (201-1000),Automotive,Sweden,Stockholm,On-site,Full-time,Executive,2024-03-21
17,Software Engineer,Enterprise (5000+),HealthTech,United Kingdom,Bristol,On-site,Full-time,Senior,2024-10-02
18,Product Manager,Small (51-200),EdTech,France,Toulouse,Remote,Contract,Executive,2024-06-27
19,Backend Engineer,Startup (1-50),Automotive,Germany,Stuttgart,Remote,Full-time,Lead,2023-09-03
20,Business Intelligence Analyst,Startup (1-50),EdTech,Germany,Munich,Hybrid,Contract,Entry,2023-05-09
21,Product Manager,Medium (201-1000),SaaS,United Kingdom,Bristol,Hybrid,Full-time,Mid,2024-07-06
22,Security Engineer,Large (1001-5000),Logistics,Sweden,Stockholm,On-site,Full-time,Senior,2024-06-13
23,Machine Learning Engineer,Startup (1-50),SaaS,Australia,Sydney,Hybrid,Full-time,Mid,2024-08-25
24,Data Engineer,Small (51-200),Consulting,Netherlands,Amsterdam,Remote,Full-time,Entry,2023-03-14
25,iOS Developer,Small (51-200),Cybersecurity,India,Hyderabad,Hybrid,Part-time,Lead,2024-08-13
26,DevOps Engineer,Small (51-200),Consulting,Australia,Sydney,Remote,Full-time,Lead,2024-03-09
27,Security Engineer,Startup (1-50),HealthTech,Switzerland,Geneva,Remote,Part-time,Entry,2023-09-12
28,Product Manager,Small (51-200),SaaS,Netherlands,Amsterdam,Hybrid,Full-time,Lead,2023-03-19
29,Data Engineer,Enterprise (5000+),SaaS,Australia,Brisbane,On-site,Working Student,Entry,2023-06-20
30,DevOps Engineer,Large (1001-5000),FinTech,Switzerland,Geneva,On-site,Full-time,Mid,2024-02-04
31,iOS Developer,Enterprise (5000+),SaaS,France,Lyon,Hybrid,Full-time,Lead,2023-10-31
32,Business Intelligence Analyst,Startup (1-50),Cybersecurity,Netherlands,Amsterdam,Hybrid,Full-time,Executive,2024-05-03
33,Software Engineer,Startup (1-50),HealthTech,India,Hyderabad,On-site,Full-time,Executive,2024-11-22
34,Data Engineer,Small (51-200),HealthTech,Netherlands,Rotterdam,Hybrid,Full-time,Executive,2024-03-05
35,Business Intelligence Analyst,Medium (201-1000),Consulting,Spain,Valencia,On-site,Full-time,Executive,2023-09-02
36,Data Analyst,Large (1001-5000),HealthTech,France,Lyon,Hybrid,Contract,Senior,2023-01-10
37,Business Intelligence Analyst,Startup (1-50),E-Commerce,Australia,Brisbane,Hybrid,Full-time,Entry,2023-12-24
38,Backend Engineer,Small (51-200),Automotive,United States,New York,Hybrid,Full-time,Senior,2024-09-18
39,Software Engineer,Medium (201-1000),E-Commerce,Spain,Valencia,On-site,Full-time,Executive,2023-09-28
40,Security Engineer,Small (51-200),Consulting,United States,San Francisco,Remote,Full-time,Executive,2023-07-28
41,iOS Developer,Large (1001-5000),FinTech,Spain,Valencia,Remote,Working Student,Executive,2023-04-05
42,iOS Developer,Startup (1-50),Automotive,Spain,Barcelona,Hybrid,Full-time,Entry,2023-06-15
43,Product Manager,Enterprise (5000+),E-Commerce,Sweden,Gothenburg,Remote,Full-time,Lead,2024-07-12
44,Business Intelligence Analyst,Small (51-200),Consulting,Germany,Hamburg,Hybrid,Full-time,Executive,2023-02-10
45,Cloud Architect,Startup (1-50),Gaming,Canada,Toronto,Hybrid,Full-time,Mid,2024-09-27
46,Machine Learning Engineer,Small (51-200),Consulting,Sweden,Stockholm,On-site,Full-time,Mid,2024-02-26
47,Machine Learning Engineer,Small (51-200),FinTech,Spain,Valencia,On-site,Full-time,Senior,2024-04-26
48,DevOps Engineer,Medium (201-1000),SaaS,Netherlands,Amsterdam,On-site,Contract,Senior,2023-01-25
49,Frontend Engineer,Medium (201-1000),Automotive,Spain,Madrid,On-site,Working Student,Senior,2023-12-26
