skill_id,job_id,skill
1,1,SQL
2,1,Python
3,1,Java
4,1,React
5,1,AWS
6,2,Docker
7,2,React
8,2,Java
9,2,Python
10,3,Terraform
11,3,Kubernetes
12,3,Networking
13,3,Docker
14,3,GCP
15,4,Docker
16,4,Python
17,4,Java
18,4,AWS
19,4,PostgreSQL
20,5,AWS
21,5,Python
22,5,PostgreSQL
23,6,Kafka
24,6,SQL
25,6,Airflow
26,6,AWS
27,6,Python
28,6,Snowflake
29,7,SQL
30,7,Spark
31,7,Snowflake
32,7,Airflow
33,7,dbt
34,8,CI/CD
35,8,Kubernetes
36,8,Terraform
37,8,Python
38,8,Docker
39,8,Linux
40,9,Spark
41,9,Snowflake
42,9,SQL
43,9,dbt
44,10,Linux
45,10,Penetration Testing
46,10,Python
47,10,SIEM
48,10,AWS
49,11,GraphQL
50,11,Git
51,11,JavaScript
52,12,CSS
53,12,Vue.js
54,12,Git
55,12,JavaScript
56,13,Power BI
57,13,Python
58,13,DAX
59,13,SQL
60,14,Git
61,14,React
62,14,Kubernetes
63,15,Git
64,15,CSS
65,15,JavaScript
66,15,GraphQL
67,15,Vue.js
68,16,GCP
69,16,AWS
70,16,Kubernetes
71,16,Docker
72,16,Terraform
73,17,Docker
74,17,Kubernetes
75,17,Java
76,18,Product Strategy
77,18,Agile
78,18,Jira
79,18,Roadmapping
80,18,SQL
81,18,Analytics
82,19,Go
83,19,Python
84,19,PostgreSQL
85,19,Docker
86,19,Kafka
87,20,Tableau
88,20,Python
89,20,Qlik
90,20,Power BI
91,21,Analytics
92,21,SQL
93,21,Jira
94,21,Agile
95,21,Roadmapping
96,21,Product Strategy
97,22,SIEM
98,22,Penetration Testing
99,22,Linux
100,22,Network Security
101,23,PyTorch
102,23,AWS
103,23,SQL
104,23,Docker
105,23,Python
106,24,AWS
107,24,SQL
108,24,Kafka
109,24,Airflow
110,24,Snowflake
111,25,Swift
112,25,Agile
113,25,REST APIs
114,25,Git
115,26,Docker
116,26,Terraform
117,26,Kubernetes
118,26,CI/CD
119,27,AWS
120,27,SIEM
121,27,Linux
122,28,Roadmapping
123,28,Product Strategy
124,28,Analytics
125,28,SQL
126,29,dbt
127,29,AWS
128,29,SQL
129,30,Linux
130,30,Docker
131,30,AWS
132,30,Kubernetes
133,30,Terraform
134,30,Python
135,31,Swift
136,31,Agile
137,31,REST APIs
138,31,UIKit
139,31,SwiftUI
140,32,Python
141,32,DAX
142,32,Tableau
143,32,Qlik
144,33,React
145,33,Java
146,33,Git
147,33,Docker
148,33,AWS
149,34,Python
150,34,Kafka
151,34,SQL
152,34,Spark
153,35,Power BI
154,35,DAX
155,35,Excel
156,35,SQL
157,35,Python
158,35,Qlik
159,36,Tableau
160,36,R
161,36,Excel
162,36,Power BI
163,37,Tableau
164,37,SQL
165,37,DAX
166,37,Power BI
167,38,AWS
168,38,Kafka
169,38,Go
170,39,AWS
171,39,Python
172,39,Kubernetes
173,39,Docker
174,39,Java
175,40,Network Security
176,40,AWS
177,40,Linux
178,40,Penetration Testing
179,41,Git
180,41,Agile
181,41,REST APIs
182,41,SwiftUI
183,41,Xcode
184,41,Swift
185,42,REST APIs
186,42,Git
187,42,Agile
188,42,UIKit
189,42,Xcode
190,42,SwiftUI
191,43,Jira
192,43,Roadmapping
193,43,Agile
194,44,Qlik
195,44,Tableau
196,44,Power BI
197,44,DAX
198,44,SQL
199,44,Excel
200,45,GCP
201,45,Docker
202,45,Azure
203,45,Terraform
204,46,PyTorch
205,46,AWS
206,46,Python
207,46,TensorFlow
208,46,Scikit-learn
209,47,SQL
210,47,PyTorch
211,47,Python
212,47,TensorFlow
213,47,Docker
214,48,Python
215,48,Terraform
216,48,Kubernetes
217,48,Linux
218,49,Vue.js
219,49,JavaScript
220,49,Git
221,50,CSS
222,50,GraphQL
223,50,Vue.js
224,50,JavaScript
225,50,React
226,51,Python
227,51,Docker
228,51,SQL
229,51,Java
230,51,Git
231,52,Airflow
232,52,Snowflake
233,52,dbt
234,53,Go
235,53,Docker
236,53,AWS
237,53,Java
238,53,Python
239,54,Python
240,54,AWS
241,54,Network Security
242,54,Penetration Testing
243,54,SIEM
244,54,Linux
245,55,Statistics
246,55,R
247,55,Power BI
248,55,Python
249,56,Git
250,56,React
251,56,Vue.js
252,56,TypeScript
253,56,CSS
254,57,Linux
255,57,Kubernetes
256,57,AWS
257,57,Docker
258,58,Jira
259,58,Analytics
260,58,Agile
261,58,Product Strategy
262,58,Roadmapping
263,59,Scikit-learn
264,59,Python
265,59,TensorFlow
266,60,Networking
267,60,GCP
268,60,Azure
269,61,Snowflake
270,61,Spark
271,61,Python
272,62,Docker
273,62,Python
274,62,SQL
275,62,PyTorch
276,62,AWS
277,62,TensorFlow
278,63,AWS
279,63,Kubernetes
280,63,Terraform
281,64,CI/CD
282,64,AWS
283,64,Docker
284,64,Python
285,65,SwiftUI
286,65,Agile
287,65,UIKit
288,66,Tableau
289,66,Statistics
290,66,R
291,66,Python
292,67,AWS
293,67,Python
294,67,Go
295,67,PostgreSQL
296,67,Docker
297,67,Redis
298,68,Docker
299,68,Java
300,68,Kubernetes
301,68,SQL
302,68,React
303,68,Git
304,69,SIEM
305,69,Network Security
306,69,Penetration Testing
307,70,Vue.js
